------------------------------------------------------------------------------------land dtaset
 Epoch 56/200, Train Loss: 0.2341, Train Dice: 0.8826, Train IoU: 0.8022, Val Loss: 0.2035, Val Dice: 0.7391, Val IoU: 0.6262, 
 Epoch 57/200, Train Loss: 0.2336, Train Dice: 0.8849, Train IoU: 0.8044, Val Loss: 0.2024, Val Dice: 0.7378, Val IoU: 0.6247, 
 Epoch 58/200, Train Loss: 0.2335, Train Dice: 0.8778, Train IoU: 0.7970, Val Loss: 0.2029, Val Dice: 0.7394, Val IoU: 0.6269, 
 Epoch 59/200, Train Loss: 0.2328, Train Dice: 0.8786, Train IoU: 0.7977, Val Loss: 0.2030, Val Dice: 0.7391, Val IoU: 0.6264, 
 Epoch 60/200, Train Loss: 0.2361, Train Dice: 0.8860, Train IoU: 0.8049, Val Loss: 0.1966, Val Dice: 0.7438, Val IoU: 0.6311, 
 Epoch 61/200, Train Loss: 0.2363, Train Dice: 0.8850, Train IoU: 0.8040, Val Loss: 0.2042, Val Dice: 0.7409, Val IoU: 0.6280, 
 Epoch 62/200, Train Loss: 0.2331, Train Dice: 0.8834, Train IoU: 0.8028, Val Loss: 0.1993, Val Dice: 0.7473, Val IoU: 0.6345, 
 Epoch 63/200, Train Loss: 0.2605, Train Dice: 0.8774, Train IoU: 0.7964, Val Loss: 0.2050, Val Dice: 0.7364, Val IoU: 0.6233, 
 Epoch 64/200, Train Loss: 0.2415, Train Dice: 0.8835, Train IoU: 0.8033, Val Loss: 0.2083, Val Dice: 0.7315, Val IoU: 0.6176, 
 Epoch 65/200, Train Loss: 0.2250, Train Dice: 0.8877, Train IoU: 0.8083, Val Loss: 0.2012, Val Dice: 0.7412, Val IoU: 0.6281, 
 Epoch 66/200, Train Loss: 0.2402, Train Dice: 0.8829, Train IoU: 0.8035, Val Loss: 0.2024, Val Dice: 0.7386, Val IoU: 0.6246, 
 Epoch 67/200, Train Loss: 0.2290, Train Dice: 0.8885, Train IoU: 0.8077, Val Loss: 0.1977, Val Dice: 0.7418, Val IoU: 0.6288, 
 Epoch 68/200, Train Loss: 0.2304, Train Dice: 0.8858, Train IoU: 0.8049, Val Loss: 0.2011, Val Dice: 0.7411, Val IoU: 0.6282, 
 Epoch 69/200, Train Loss: 0.2530, Train Dice: 0.8831, Train IoU: 0.8031, Val Loss: 0.2021, Val Dice: 0.7388, Val IoU: 0.6249, 
 Epoch 70/200, Train Loss: 0.2267, Train Dice: 0.8852, Train IoU: 0.8057, Val Loss: 0.2024, Val Dice: 0.7378, Val IoU: 0.6246, 
