Epoch 58/100, Train Loss: 0.2617, Train Dice: 0.8470, Train IoU: 0.7513, Val Loss: 0.2489, Val Dice: 0.8380, Val IoU: 0.7400, 
Epoch 59/100, Train Loss: 0.2628, Train Dice: 0.8410, Train IoU: 0.7439, Val Loss: 0.2478, Val Dice: 0.8388, Val IoU: 0.7408, 
Epoch 60/100, Train Loss: 0.2583, Train Dice: 0.8509, Train IoU: 0.7548, Val Loss: 0.2459, Val Dice: 0.8405, Val IoU: 0.7432, 
Epoch 61/100, Train Loss: 0.2590, Train Dice: 0.8452, Train IoU: 0.7496, Val Loss: 0.2484, Val Dice: 0.8376, Val IoU: 0.7399, 
Epoch 62/100, Train Loss: 0.2635, Train Dice: 0.8426, Train IoU: 0.7462, Val Loss: 0.2481, Val Dice: 0.8396, Val IoU: 0.7417, 
Epoch 63/100, Train Loss: 0.2589, Train Dice: 0.8472, Train IoU: 0.7526, Val Loss: 0.2495, Val Dice: 0.8375, Val IoU: 0.7389, 
Epoch 64/100, Train Loss: 0.2640, Train Dice: 0.8428, Train IoU: 0.7460, Val Loss: 0.2466, Val Dice: 0.8399, Val IoU: 0.7422, 
Epoch 65/100, Train Loss: 0.2592, Train Dice: 0.8487, Train IoU: 0.7536, Val Loss: 0.2489, Val Dice: 0.8392, Val IoU: 0.7412, 
Epoch 66/100, Train Loss: 0.2569, Train Dice: 0.8473, Train IoU: 0.7514, Val Loss: 0.2480, Val Dice: 0.8375, Val IoU: 0.7395, 
Epoch 67/100, Train Loss: 0.2607, Train Dice: 0.8453, Train IoU: 0.7490, Val Loss: 0.2467, Val Dice: 0.8403, Val IoU: 0.7430, 
Epoch 68/100, Train Loss: 0.2592, Train Dice: 0.8452, Train IoU: 0.7494, Val Loss: 0.2478, Val Dice: 0.8376, Val IoU: 0.7398, 
Epoch 69/100, Train Loss: 0.2580, Train Dice: 0.8506, Train IoU: 0.7552, Val Loss: 0.2473, Val Dice: 0.8403, Val IoU: 0.7428, 
Epoch 70/100, Train Loss: 0.2574, Train Dice: 0.8499, Train IoU: 0.7542, Val Loss: 0.2482, Val Dice: 0.8397, Val IoU: 0.7419, 
Epoch 71/100, Train Loss: 0.2564, Train Dice: 0.8497, Train IoU: 0.7537, Val Loss: 0.2476, Val Dice: 0.8382, Val IoU: 0.7403, 
